Star,RA(J2000.0),DEC(J2000.0),V,B-V,U-B,V-R,R-I,V-I,n,m
WD 1153-484A,11 56 10.834,-48 39 48.51,12.633,0.7,0.154,0.415,0.389,0.803,4,2
WD 1153-484,11 56 11.427,-48 40 3.3,12.915,-0.215,-1.023,-0.098,-0.13,-0.228,6,3
WD 1153-484E,11 56 13.505,-48 42 16.0,13.44,0.511,0.0,0.308,0.297,0.605,4,2
LSE 44F,13 52 34.466,-48 6 59.26,12.013,1.194,1.172,0.62,0.56,1.18,19,10
LSE 44A,13 52 39.573,-48 10 4.92,13.743,1.435,1.634,0.791,0.719,1.511,21,10
LSE 44,13 52 40.779,-48 8 22.75,12.459,-0.265,-1.152,-0.112,-0.145,-0.255,20,11
LSE 44B,13 52 43.784,-48 11 34.04,12.632,1.039,0.774,0.567,0.538,1.105,18,9
LSE 44C,13 52 51.85,-48 9 56.32,13.437,1.426,1.559,0.793,0.738,1.531,17,9
LSE 44D,13 52 52.115,-48 8 38.43,13.14,1.36,1.598,0.728,0.626,1.354,15,8
LSE 44E,13 52 55.514,-48 8 19.58,13.554,0.827,0.44,0.454,0.413,0.866,16,8
LSE 259C,16 53 30.037,-56 0 54.62,10.866,1.025,0.7,0.561,0.525,1.087,15,8
LSE 259D,16 53 41.607,-55 59 8.96,11.719,0.331,0.183,0.191,0.209,0.4,15,8
LSE 259E,16 53 43.24,-55 58 30.06,11.922,0.613,0.118,0.362,0.362,0.725,17,9
LSE 259B,16 53 44.377,-56 1 32.85,13.596,0.888,0.468,0.506,0.482,0.991,18,10
LSE 259H,16 53 48.077,-56 0 42.24,14.164,1.317,1.272,0.699,0.614,1.314,15,8
LSE 259A,16 53 53.147,-56 2 2.58,13.545,1.692,1.98,0.993,1.013,2.006,19,12
LSE 259,16 53 54.573,-56 1 54.76,12.551,-0.127,-1.123,-0.019,-0.026,-0.046,22,14
LSE 259F,16 53 55.538,-55 59 26.16,13.58,0.615,0.052,0.374,0.375,0.749,17,9
LSE 259G,16 54 0.237,-55 59 20.05,14.092,0.841,0.241,0.515,0.514,1.029,14,7
MCT 2019-4339E,20 22 38.91,-43 31 17.07,13.693,1.029,0.788,0.566,0.53,1.096,28,15
MCT 2019-4339D,20 22 40.476,-43 27 26.39,13.205,0.924,0.748,0.518,0.434,0.953,19,11
MCT 2019-4339A,20 22 45.332,-43 29 43.33,13.055,0.521,-0.011,0.307,0.295,0.602,20,11
MCT 2019-4339B,20 22 46.726,-43 28 10.88,13.923,0.671,0.208,0.369,0.347,0.716,19,11
MCT 2019-4339,20 22 49.056,-43 30 11.53,13.685,-0.288,-1.212,-0.115,-0.149,-0.261,24,13
MCT 2019-4339C,20 23 2.134,-43 28 22.4,12.44,0.939,0.726,0.547,0.466,1.011,20,11
MCT 2019-4339F,20 23 3.99,-43 31 21.9,13.936,0.647,0.097,0.369,0.36,0.729,20,11
JL 82C,21 35 45.005,-72 50 12.76,13.44,0.612,0.041,0.357,0.358,0.715,19,10
JL 82B,21 35 59.34,-72 50 15.1,13.507,0.705,0.121,0.411,0.414,0.825,19,10
JL 82,21 36 1.289,-72 48 27.21,12.389,-0.208,-0.947,-0.098,-0.115,-0.211,21,11
JL 82D,21 36 15.362,-72 45 27.21,12.371,1.062,0.865,0.551,0.509,1.061,19,10
JL 82A,21 36 17.052,-72 50 8.57,11.226,1.05,0.803,0.543,0.503,1.048,21,11
JL 117A,22 54 13.332,-72 23 4.33,14.061,0.629,0.072,0.362,0.354,0.717,6,3
JL 117,22 54 38.002,-72 23 9.68,14.469,-0.336,-1.233,-0.152,-0.128,-0.272,12,6
JL 117B,22 54 51.021,-72 23 23.61,14.961,0.806,0.471,0.444,0.334,0.779,4,2
JL 117C,22 55 0.471,-72 22 41.35,14.398,0.797,0.385,0.436,0.395,0.834,6,4
JL 117D,22 55 37.574,-72 22 34.28,12.55,0.657,0.159,0.369,0.36,0.731,5,2
